,Title,Bedrooms,Bathrooms,Kitchens,Reception_Rooms,Studies,CarportsParkings,Security,Flatlet,DomesticAccommodation,Pool,Size,Price
0,4 Bedroom House For Sale in Phakalane Golf Estate,4,3,1,2,N/A,N/A,Yes,N/A,1,Yes,N/A,"BWP5,100,000"
8,5 Bedroom House For Sale in Phakalane Golf Estate,5,5,2,3,1,2,Yes,N/A,1,Yes,N/A,"BWP12,500,000"
12,4 Bedroom House For Sale in Gaborone North,4,4,1,3,1,N/A,Yes,N/A,1,Yes,N/A,"BWP8,500,000"
16,5 Bedroom House For Sale in Phakalane,5,4,N/A,3,1,3,Yes,N/A,2,Yes,N/A,"BWP8,000,000"
20,4 Bedroom House For Sale in Phakalane,4,3,N/A,3,1,2,Yes,N/A,1,Yes,N/A,"BWP6,500,000"
24,3 Bedroom House For Sale in Phakalane Golf Estate,3,3,1,2,1,N/A,Yes,1,1,Yes,N/A,"BWP6,200,000"
28,6 Bedroom House For Sale in Phakalane,6,4,1,3,1,N/A,Yes,N/A,2,Yes,N/A,"BWP5,500,000"
32,6 Bedroom House For Sale in Maruapula,6,6,1,2,1,5,Yes,1,1,Yes,N/A,"BWP5,400,000"
40,4 Bedroom House For Sale in Gaborone,4,4,N/A,2,1,N/A,Yes,N/A,1,Yes,N/A,"BWP4,700,000"
44,4 Bedroom House For Sale in Mokolodi 2,4,4,1,2,N/A,2,Yes,N/A,2,Yes,N/A,"BWP4,300,000"
52,4 Bedroom House For Sale in Extension 44,4,4,1,2,1,N/A,No,N/A,1,Yes,N/A,"BWP3,900,000"
60,3 Bedroom House For Sale in Gaborone North,3,2,N/A,2,N/A,N/A,Yes,N/A,1,N/A,N/A,"BWP3,900,000"
64,5 Bedroom House For Sale in Ruretse,5,3,2,4,N/A,4,Yes,2,2,Yes,N/A,"BWP3,800,000"
68,6 Bedroom House For Sale in Gaborone,6,6,2,4,1,2,Yes,N/A,1,N/A,N/A,"BWP3,700,000"
76,3 Bedroom House For Sale in Gaborone,3,2,1,3,1,N/A,Yes,N/A,2,Yes,N/A,"BWP3,600,000"
84,3 Bedroom House For Sale in Broadhurst,3,2,1,2,N/A,2,Yes,N/A,1,N/A,N/A,"BWP3,100,000"
88,3 Bedroom House For Sale in Extension 9,3,1,1,2,1,N/A,Yes,N/A,1,N/A,N/A,"BWP3,100,000"
92,3 Bedroom House For Sale in Village,3,2,1,3,1,2,No,N/A,1,N/A,N/A,"BWP3,000,000"
104,3 Bedroom House For Sale in Phakalane,3,2,1,2,N/A,2,Yes,N/A,1,Yes,N/A,"BWP2,700,000"
112,3 Bedroom House For Sale in Extension 44,3,2,1,2,1,N/A,Yes,N/A,1,Yes,N/A,"BWP2,600,000"
116,4 Bedroom House For Sale in Maruapula,4,2,1,3,N/A,N/A,Yes,N/A,1,Yes,N/A,"BWP2,300,000"
120,4 Bedroom House For Sale in Tsholofelo,4,3.5,1,2,N/A,4,Yes,N/A,1,Yes,N/A,"BWP2,200,000"
128,1 Bedroom House For Sale in Gaborone North,1,1,1,1,N/A,N/A,Yes,N/A,N/A,N/A,N/A,"BWP2,000,000"
148,3 Bedroom House For Sale in Block 6,3,3,1,2,N/A,1,Yes,N/A,1,N/A,N/A,"BWP1,650,000"
166,3 Bedroom House For Sale in Block 9,3,2,1,2,1,N/A,Yes,N/A,1,N/A,N/A,"BWP1,300,000"
170,7 Bedroom House For Sale in Block 10,7,3,2,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"BWP1,290,000"
